repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
openvpn,8014,2613,C,https://github.com/OpenVPN/openvpn,OpenVPN,11,2023-01-25T17:51:33Z,OpenVPN  is  an open source VPN daemon
contiki,3520,2571,C,https://github.com/contiki-os/contiki,contiki-os,476,2021-10-03T12:28:34Z,"The official git repository for Contiki, the open source OS for the Internet of Things"
Linux-NetSpeed,3580,2526,C,https://github.com/Chikage0o0/Linux-NetSpeed,Chikage0o0,28,2022-11-10T04:00:26Z,将Linux现常用的网络加速集成在一起
freebsd-src,6717,2507,C,https://github.com/freebsd/freebsd-src,freebsd,0,2023-01-28T18:10:13Z,FreeBSD src tree (read-only mirror)
pygame,5685,2488,C,https://github.com/pygame/pygame,pygame,325,2023-01-28T18:36:31Z,"🐍🎮 pygame (the library) is a Free and Open Source python programming language library for making multimedia applications like games built on top of the excellent SDL library. C, Python, Native, OpenGL."
xrdp,4310,2465,C,https://github.com/neutrinolabs/xrdp,neutrinolabs,308,2023-01-28T12:37:02Z,xrdp: an open source RDP server
betaflight,6462,2446,C,https://github.com/betaflight/betaflight,betaflight,209,2023-01-28T16:06:22Z,Open Source Flight Controller Firmware
CMake,5454,2384,C,https://github.com/Kitware/CMake,Kitware,0,2023-01-28T11:23:18Z,Mirror of CMake upstream repository
kbengine,5100,2341,C,https://github.com/kbengine/kbengine,kbengine,159,2022-12-13T18:37:12Z,A MMOG engine of server.
SoftEtherVPN,9664,2331,C,https://github.com/SoftEtherVPN/SoftEtherVPN,SoftEtherVPN,197,2023-01-28T18:34:56Z,Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available at https://github.com/SoftEtherVPN/SoftEtherVPN_Stable.
cpuminer,838,2314,C,https://github.com/jgarzik/cpuminer,jgarzik,0,2022-07-02T14:58:26Z,CPU miner for bitcoin
janus-gateway,6938,2279,C,https://github.com/meetecho/janus-gateway,meetecho,7,2023-01-23T16:35:23Z,Janus WebRTC Server
Learn-Algorithms,7061,2270,C,https://github.com/nonstriater/Learn-Algorithms,nonstriater,4,2021-12-23T03:59:42Z,算法学习笔记
mbedtls,3966,2187,C,https://github.com/Mbed-TLS/mbedtls,Mbed-TLS,964,2023-01-28T10:36:09Z,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API."
mosquitto,6971,2097,C,https://github.com/eclipse/mosquitto,eclipse,558,2023-01-27T21:20:20Z,Eclipse Mosquitto - An open source MQTT broker
zlib,4149,2088,C,https://github.com/madler/zlib,madler,128,2023-01-25T04:49:14Z,A massively spiffy yet delicately unobtrusive compression library.
TheFatRat,7320,2075,C,https://github.com/screetsec/TheFatRat,screetsec,55,2022-11-28T07:42:44Z,"Thefatrat a massive exploiting tool : Easy tool to generate backdoor and easy tool to post exploitation attack like browser attack and etc . This tool compiles a malware with popular payload and then the compiled malware can be execute on windows, android, mac . The malware that created with this tool also have an ability to bypass most AV software protection ."
nmap,7313,2044,C,https://github.com/nmap/nmap,nmap,500,2023-01-27T23:09:06Z,Nmap - the Network Mapper. Github mirror of official SVN repository.
openwrt-passwall,3795,1987,C,https://github.com/xiaorouji/openwrt-passwall,xiaorouji,7,2023-01-28T16:05:34Z,A commonly used proxy toolchain for Openwrt LuCI Application.
edk2,3402,1982,C,https://github.com/tianocore/edk2,tianocore,1,2023-01-28T18:12:28Z,EDK II
Mailspring,13707,855,C,https://github.com/Foundry376/Mailspring,Foundry376,7,2023-01-19T21:17:46Z,":love_letter: A beautiful, fast and fully open source mail client for Mac, Windows and Linux."
nuklear,13513,1124,C,https://github.com/vurtun/nuklear,vurtun,207,2020-01-03T21:36:41Z,A single-header ANSI C gui library
robotjs,11508,883,C,https://github.com/octalmage/robotjs,octalmage,142,2022-12-06T22:17:24Z,Node.js Desktop Automation.
darwin-xnu,10512,1640,C,https://github.com/apple/darwin-xnu,apple,0,2023-01-13T01:48:01Z,"The Darwin Kernel (mirror). This repository is a pure mirror and contributions are currently not accepted via pull-requests, please submit your contributions via https://developer.apple.com/bug-reporting/"
ffmpeg-libav-tutorial,8474,832,C,https://github.com/leandromoreira/ffmpeg-libav-tutorial,leandromoreira,27,2023-01-04T23:36:11Z,"FFmpeg libav tutorial - learn how media works from basic to transmuxing, transcoding and more. Translations: 🇺🇸 🇨🇳 🇰🇷 🇪🇸 🇻🇳"
proxychains-ng,8459,1012,C,https://github.com/rofl0r/proxychains-ng,rofl0r,111,2022-12-10T19:12:44Z,"proxychains ng (new generation) - a preloader which hooks calls to sockets in dynamically linked programs and redirects it through one or more socks/http proxies. continuation of the unmaintained proxychains project. the sf.net page is currently not updated, use releases from github release page instead."
systeminformer,8448,1173,C,https://github.com/winsiderss/systeminformer,winsiderss,83,2023-01-26T18:37:23Z,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ http://www.windows-internals.com"
zephyr,7176,4518,C,https://github.com/zephyrproject-rtos/zephyr,zephyrproject-rtos,1440,2023-01-29T12:37:35Z,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures."
xv6-public,6128,3313,C,https://github.com/mit-pdos/xv6-public,mit-pdos,0,2023-01-28T06:33:50Z,xv6 OS
xLua,8183,2338,C,https://github.com/Tencent/xLua,Tencent,191,2023-01-13T07:44:36Z,"xLua is a lua programming solution for  C# ( Unity, .Net, Mono) , it supports android, ios, windows, linux, osx, etc."
devart-template,9,1958,C,https://github.com/ofZach/devart-template,ofZach,0,2014-06-13T17:05:46Z,
vlmcsd,6964,1945,C,https://github.com/Wind4/vlmcsd,Wind4,3,2021-11-16T14:43:21Z,"KMS Emulator in C (currently runs on Linux including Android, FreeBSD, Solaris, Minix, Mac OS, iOS, Windows with or without Cygwin)"
fastdfs,8381,1939,C,https://github.com/happyfish100/fastdfs,happyfish100,412,2023-01-15T02:41:39Z,"FastDFS is an open source high performance distributed file system (DFS). It's major functions include: file storing, file syncing and file accessing, and design for high capacity and load balance. Wechat/Weixin public account (Chinese Language): fastdfs"
poco,6718,1910,C,https://github.com/pocoproject/poco,pocoproject,212,2023-01-27T20:28:41Z,"The POCO C++ Libraries are powerful cross-platform C++ libraries for building network- and internet-based applications that run on desktop, server, mobile, IoT, and embedded systems."
source,1592,1871,C,https://github.com/lede-project/source,lede-project,0,2023-01-29T15:03:01Z,Mirror of https://git.lede-project.org/?p=source.git Please send your PRs against this tree. They will be merged via staging trees and appear in this tree once the staging trees get merged back into source.git
RIOT,4353,1860,C,https://github.com/RIOT-OS/RIOT,RIOT-OS,349,2023-01-29T21:28:50Z,RIOT -  The friendly OS for IoT
helloworld,2688,1841,C,https://github.com/fw876/helloworld,fw876,40,2023-01-27T04:13:05Z,
john,7255,1837,C,https://github.com/openwall/john,openwall,471,2023-01-18T23:38:00Z,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs"
ImageMagick,8371,1119,C,https://github.com/ImageMagick/ImageMagick,ImageMagick,116,2023-01-30T08:56:14Z,🧙‍♂️ ImageMagick 7
react-native-code-push,8338,1340,C,https://github.com/microsoft/react-native-code-push,microsoft,54,2023-01-24T07:40:40Z,React Native module for CodePush
c4,8003,1297,C,https://github.com/rswier/c4,rswier,12,2022-09-10T02:41:16Z,C in four functions
db_tutorial,7922,857,C,https://github.com/cstack/db_tutorial,cstack,23,2023-01-01T14:39:53Z,Writing a sqlite clone from scratch in C
ccminer,255,1819,C,https://github.com/cbuchner1/ccminer,cbuchner1,86,2021-08-16T18:59:54Z,Christian Buchner's & Christian H.'s CUDA miner project
git-training,315,1804,C,https://github.com/Taeung/git-training,Taeung,7,2023-01-16T05:34:17Z,":octocat:  Don't think about git, just do git"
GoodbyeDPI,8212,771,C,https://github.com/ValdikSS/GoodbyeDPI,ValdikSS,54,2022-08-10T17:20:53Z,GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows)
tini,8192,414,C,https://github.com/krallin/tini,krallin,20,2023-01-30T19:28:46Z,A tiny but valid `init` for containers
